    0.40462   85.83207   85.83307 -171.66514   -0.01953   -0.12670   -0.11070
    0.41040   86.19051   86.19211 -172.38262   -0.01994   -0.12829   -0.11259
    0.41618   86.54348   86.54575 -173.08923   -0.02042   -0.12987   -0.11450
    0.42197   86.89121   86.89409 -173.78530   -0.02087   -0.13145   -0.11643
    0.42775   87.23377   87.23735 -174.47112   -0.02133   -0.13304   -0.11836
    0.43353   87.57141   87.57561 -175.14702   -0.02178   -0.13462   -0.12031
    0.43931   87.90408   87.90913 -175.81322   -0.02222   -0.13621   -0.12227
    0.44509   88.23210   88.23795 -176.47006   -0.02265   -0.13781   -0.12424
    0.45087   88.55556   88.56218 -177.11774   -0.02311   -0.13940   -0.12622
    0.45665   88.87452   88.88200 -177.75652   -0.02360   -0.14099   -0.12821
    0.46243   89.18915   89.19746 -178.38661   -0.02402   -0.14258   -0.13021
    0.46821   89.49953   89.50871 -179.00824   -0.02450   -0.14418   -0.13222
    0.47399   89.80579   89.81588 -179.62168   -0.02496   -0.14578   -0.13424
    0.47977   90.10807   90.11900 -180.22707   -0.02542   -0.14738   -0.13627
    0.48555   90.40639   90.41820 -180.82459   -0.02590   -0.14898   -0.13831
    0.49133   90.70089   90.71363 -181.41452   -0.02640   -0.15058   -0.14035
    0.49711   90.99157   91.00540 -181.99697   -0.02690   -0.15218   -0.14240
    0.50289   91.27868   91.29349 -182.57217   -0.02733   -0.15378   -0.14447
    0.50867   91.56222   91.57803 -183.14026   -0.02790   -0.15539   -0.14653
    0.51445   91.84228   91.85914 -183.70142   -0.02839   -0.15700   -0.14861
    0.52023   92.11893   92.13693 -184.25586   -0.02895   -0.15861   -0.15069
    0.52601   92.39232   92.41135 -184.80367   -0.02951   -0.16021   -0.15277
    0.53179   92.66239   92.68265 -185.34505   -0.03002   -0.16183   -0.15486
    0.53757   92.92933   92.95076 -185.88008   -0.03058   -0.16344   -0.15695
    0.54335   93.19313   93.21585 -186.40898   -0.03112   -0.16505   -0.15904
    0.54913   93.45395   93.47786 -186.93181   -0.03161   -0.16668   -0.16115
    0.55491   93.71180   93.73700 -187.44879   -0.03213   -0.16829   -0.16325
    0.56069   93.96680   93.99323 -187.96002   -0.03266   -0.16991   -0.16536
    0.56647   94.21886   94.24672 -188.46558   -0.03320   -0.17153   -0.16746
    0.57225   94.46822   94.49740 -188.96562   -0.03376   -0.17316   -0.16957
    0.57803   94.71475   94.74542 -189.46017   -0.03439   -0.17478   -0.17168
    0.58382   94.95865   94.99079 -189.94944   -0.03493   -0.17641   -0.17379
    0.58960   95.19994   95.23361 -190.43355   -0.03553   -0.17803   -0.17590
    0.59538   95.43870   95.47388 -190.91258   -0.03610   -0.17967   -0.17801
    0.60116   95.67490   95.71166 -191.38656   -0.03670   -0.18130   -0.18012
    0.60694   95.90871   95.94702 -191.85573   -0.03727   -0.18294   -0.18223
    0.61272   96.14004   96.18004 -192.32008   -0.03789   -0.18457   -0.18433
    0.61850   96.36907   96.41068 -192.77976   -0.03852   -0.18621   -0.18642
    0.62428   96.59574   96.63906 -193.23480   -0.03913   -0.18785   -0.18852
